source_url,raw_ingredient,raw_functions,raw_details
https://incidecoder.com/ingredients/melaleuca-alternifolia-leaf-oil,Melaleuca Alternifolia Leaf Oil,,
https://incidecoder.com/ingredients/ascorbic-acid,Ascorbic Acid,,
https://incidecoder.com/ingredients/azelaic-acid,Azelaic Acid,,
https://incidecoder.com/ingredients/salicylic-acid,Salicylic Acid,,
http://error.com,  nIacinaMide  ,"acne, sebum",
https://incidecoder.com/ingredients/centella-asiatica-extract,Centella Asiatica Extract,,
https://incidecoder.com/ingredients/bakuchiol,Bakuchiol,,
https://incidecoder.com/ingredients/sulfur,Sulfur,,
https://incidecoder.com/ingredients/tocopherol,Tocopherol,,
https://incidecoder.com/ingredients/panthenol,Panthenol,,
https://incidecoder.com/ingredients/benzoyl-peroxide,Benzoyl Peroxide,,
https://incidecoder.com/ingredients/ceramide-np,Ceramide NP,,
https://incidecoder.com/ingredients/kaolin,Kaolin,,
https://incidecoder.com/ingredients/simmondsia-chinensis-seed-oil,Simmondsia Chinensis Seed Oil,,
https://incidecoder.com/ingredients/hyaluronic-acid,Hyaluronic Acid,,
https://incidecoder.com/ingredients/glycerin,Glycerin,"skin-identical ingredient, moisturizer/humectant",A truly common skincare ingredient.
https://incidecoder.com/ingredients/niacinamide,Niacinamide,,
https://incidecoder.com/ingredients/butyrospermum-parkii-butter,Butyrospermum Parkii Butter,,
https://incidecoder.com/ingredients/allantoin,Allantoin,,
https://incidecoder.com/ingredients/zinc-pca,Zinc Pca,,
https://incidecoder.com/ingredients/ceramide-ap,Ceramide AP,,
https://incidecoder.com/ingredients/copper-tripeptide-1,Copper Tripeptide-1,,
https://incidecoder.com/ingredients/squalane,Squalane,,
https://incidecoder.com/ingredients/aloe-barbadensis-leaf-juice,Aloe Barbadensis Leaf Juice,,
https://incidecoder.com/ingredients/mandelic-acid,Mandelic Acid,,
https://incidecoder.com/ingredients/lactic-acid,Lactic Acid,,
https://incidecoder.com/ingredients/glycolic-acid,Glycolic Acid,,
http://error2.com,Salicylic acid,,Eksfoliasi kulit mati
https://incidecoder.com/ingredients/zinc-pca,Zinc PCA,"anti-acne, moisturizer",Great for oily skin.
https://incidecoder.com/ingredients/glycerin,Glycerin,,
https://incidecoder.com/ingredients/glycyrrhiza-glabra-root-extract,Glycyrrhiza Glabra  Root Extract,,
https://incidecoder.com/ingredients/urea,Urea,,
https://incidecoder.com/ingredients/hamamelis-virginiana-water,Hamamelis Virginiana Water,,
https://incidecoder.com/ingredients/sodium-hyaluronate,Sodium Hyaluronate,,
